Acousticness,Danceability,Energy,Genre,Instrumental,Key,Liveness,Loudness,Speechness,Tempo,Valence
0.779,0.214,0.269,rock,0.101,4,0.108,-14.31,0.0348,136.698,0.105
0.181,0.437,0.478,rock,5.97E-06,7,0.34,-8.839,0.03,138.142,0.288
0.0633,0.453,0.833,rock,0,2,0.38,-6.371,0.0455,116.767,0.56
0.0711,0.661,0.579,rock,0.000565,0,0.518,-8.148,0.0291,115.967,0.491
0.045,0.671,0.681,rock,2.30E-05,0,0.132,-9.006,0.0286,130.397,0.659
0.165,0.793,0.687,rock,0,9,0.0542,-8.936,0.0326,131.941,0.872
0.536,0.661,0.33,rock,0,7,0.263,-11.02,0.0383,79.23,0.603
0.0237,0.593,0.813,rock,0.00286,3,0.0658,-9.387,0.0544,126.328,0.699
0.385,0.576,0.699,rock,1.38E-05,10,0.129,-8.117,0.0366,108.554,0.383
0.221,0.665,0.462,rock,0.000361,5,0.123,-10.651,0.0273,94.005,0.305
0.0753,0.553,0.439,rock,0,9,0.0881,-11.559,0.0888,172.802,0.816
0.176,0.697,0.599,rock,0.134,4,0.104,-11.165,0.0428,154.897,0.914
0.129,0.652,0.707,rock,0.000374,7,0.176,-10.63,0.118,109.82,0.779
0.00707,0.606,0.753,rock,0,0,0.0305,-9.335,0.0312,120.267,0.859
0.604,0.386,0.627,rock,1.77E-06,2,0.259,-7.502,0.0512,69.864,0.532
0.0206,0.603,0.688,rock,0.00511,2,0.265,-8.087,0.0376,98.394,0.777
0.0782,0.767,0.491,rock,0.65,9,0.0958,-8.527,0.0269,106.629,0.366
0.375,0.526,0.476,rock,0.00076,11,0.583,-8.869,0.0248,164.119,0.406
0.683,0.522,0.62,rock,0,0,0.793,-8.507,0.349,177.85,0.796
0.601,0.591,0.931,rock,0.000175,4,0.345,-6.481,0.0401,130.9,0.422
0.0455,0.556,0.877,rock,3.39E-06,9,0.143,-7.04,0.071,119.448,0.399
0.00287,0.816,0.601,rock,0.528,7,0.0918,-10.462,0.0347,113.133,0.969
0.00737,0.353,0.56,rock,0.00127,4,0.37,-7.797,0.0287,98.839,0.296
0.00031,0.39,0.729,rock,0.0248,0,0.104,-7.702,0.0288,129.345,0.64
0.0143,0.556,0.695,rock,0,11,0.215,-7.597,0.0293,104.05,0.471
0.126,0.54,0.485,rock,0.000937,5,0.136,-11.074,0.071,120.648,0.743
0.141,0.634,0.911,rock,0,7,0.276,-6.691,0.108,204.077,0.966
0.373,0.713,0.675,rock,2.80E-06,0,0.235,-7.749,0.0335,98.074,0.751
0.000755,0.585,0.725,rock,0.00362,11,0.0915,-8.023,0.12,93.2,0.746
0.0613,0.62,0.718,rock,0.000298,0,0.0375,-12.258,0.0376,134.96,0.913
0.402,0.517,0.393,rock,1.07E-05,0,0.139,-11.171,0.0278,76.321,0.235
0.596,0.67,0.867,rock,0,2,0.39,-5.395,0.441,112.5,0.855
0.231,0.697,0.804,rock,7.08E-06,1,0.0554,-8.607,0.0452,135.345,0.918
0.702,0.822,0.635,rock,0,7,0.0945,-10.832,0.101,120.458,0.719
0.409,0.374,0.426,rock,0,1,0.0853,-9.721,0.047,178.851,0.736
0.478,0.726,0.683,rock,9.93E-06,0,0.177,-9.497,0.0431,105.03,0.92
0.733,0.791,0.606,rock,0,0,0.354,-11.627,0.104,106.69,0.907
0.0673,0.732,0.579,rock,0.000759,5,0.0548,-12.224,0.0725,171.657,0.906
0.441,0.913,0.767,rock,0,11,0.607,-9.98,0.18,113.765,0.911
0.365,0.551,0.767,rock,1.84E-06,10,0.112,-8.239,0.0977,168.82,0.871
0.53,0.879,0.719,rock,0,2,0.602,-10.486,0.312,103.167,0.856
0.662,0.596,0.803,rock,1.19E-05,5,0.472,-9.863,0.112,155.458,0.48
0.3,0.775,0.459,rock,0.000313,0,0.158,-14.268,0.0475,131.955,0.54
0.0183,0.606,0.961,rock,0,3,0.076,-6.837,0.191,181.188,0.547
0.368,0.722,0.668,rock,3.85E-06,7,0.343,-10.403,0.0288,139.528,0.935
0.403,0.651,0.906,rock,0,8,0.354,-8.717,0.0957,122.586,0.717
0.47,0.767,0.929,rock,1.99E-06,7,0.471,-7.561,0.175,107.898,0.489
0.418,0.77,0.619,rock,0,5,0.0842,-8.321,0.0735,103.193,0.819
0.00709,0.594,0.887,rock,6.06E-05,10,0.149,-4.649,0.039,69.097,0.586
0.3,0.567,0.64,rock,0.000142,1,0.167,-10.484,0.043,82.832,0.458
0.208,0.57,0.662,rock,7.30E-05,0,0.145,-8.665,0.0252,96.37,0.504
0.345,0.407,0.687,rock,1.27E-05,0,0.306,-9.284,0.0297,159.661,0.569
0.0876,0.376,0.556,rock,4.47E-05,2,0.265,-9.354,0.0302,138.715,0.676
8.79E-05,0.367,0.854,rock,0.000701,11,0.318,-9.608,0.104,165.211,0.788
0.238,0.438,0.346,rock,0.000253,7,0.445,-12.66,0.0313,134.7,0.166
0.648,0.79,0.346,rock,0.0015,2,0.123,-12.231,0.0337,115.112,0.753
0.797,0.499,0.329,rock,0.0332,2,0.972,-17.882,0.1,128.796,0.355
0.487,0.774,0.37,rock,0.0437,2,0.101,-15.195,0.0444,105.517,0.498
0.136,0.503,0.521,rock,0,7,0.118,-9.923,0.0484,106.523,0.702
0.556,0.434,0.854,rock,0.0174,8,0.0695,-9.269,0.0373,170.929,0.926
0.00676,0.542,0.735,rock,0.00287,6,0.299,-8.538,0.0328,120.802,0.799
0.36,0.525,0.686,rock,1.14E-06,7,0.211,-8.112,0.0405,92.869,0.542
0.138,0.658,0.781,rock,6.92E-06,2,0.119,-10.182,0.0612,137.661,0.805
0.228,0.341,0.381,rock,0.0469,7,0.277,-13.893,0.0314,94.599,0.345
0.0463,0.594,0.54,rock,0.0107,10,0.137,-11.137,0.0435,111.681,0.858
0.617,0.533,0.512,rock,0,2,0.309,-9.168,0.0297,140.217,0.571
0.131,0.744,0.658,rock,8.59E-05,4,0.086,-9.332,0.0311,118.561,0.797
0.018,0.536,0.761,rock,1.68E-05,4,0.473,-7.333,0.0293,136.153,0.961
0.0861,0.212,0.521,rock,0.000547,2,0.199,-10.794,0.0388,68.746,0.402
0.505,0.538,0.513,rock,0.00484,4,0.161,-10.304,0.0264,100.602,0.457
0.493,0.47,0.459,rock,0,10,0.0559,-8.444,0.0268,72.265,0.215
0.00211,0.308,0.645,rock,0.177,9,0.0278,-8.146,0.0306,102.917,0.528
0.00615,0.364,0.645,rock,0.0208,9,0.0638,-7.608,0.0266,100.714,0.391
0.717,0.585,0.412,rock,0,7,0.0525,-9.405,0.0467,101.772,0.709
0.0359,0.568,0.694,rock,1.29E-06,4,0.303,-8.697,0.0363,109.38,0.547
0.923,0.233,0.226,rock,0.000144,6,0.128,-10.876,0.0306,81.05,0.275
0.165,0.793,0.687,rock,0,9,0.0542,-8.936,0.0326,131.941,0.872
0.457,0.525,0.457,rock,3.13E-06,0,0.111,-10.146,0.0477,133.129,0.289
0.000784,0.482,0.726,rock,0.00494,2,0.112,-9.352,0.0324,106.558,0.76
0.228,0.627,0.798,rock,0.0168,11,0.0468,-8.907,0.0664,102.441,0.722
0.0507,0.495,0.828,rock,1.92E-06,7,0.125,-8.613,0.0585,129.051,0.628
0.295,0.692,0.563,rock,0.000581,0,0.0902,-10.509,0.0355,116.019,0.71
0.195,0.631,0.641,rock,2.40E-06,9,0.265,-5.744,0.029,119.912,0.453
